mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year
M1404/93,Cetacean,Harbour porpoise,Single,140,Phocoena phocoena,Harbour porpoise,1993-06-19,Exact,57.92238617,-4.000564098,U,140,TRUE,advanced decomposition (code 4),not necropsied,1993
M1411/93,Cetacean,Harbour porpoise,Single,141,Phocoena phocoena,Harbour porpoise,1993-06-21,Exact,59.52267838,-1.607600331,M,82.5,TRUE,advanced decomposition (code 4),not necropsied,1993
M1482/93,Cetacean,Harbour porpoise,Single,148,Phocoena phocoena,Harbour porpoise,1993-06-30,Exact,57.98932648,-3.655817509,F,74,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1564/93,Cetacean,Harbour porpoise,Single,156,Phocoena phocoena,Harbour porpoise,1993-07-02,Exact,56.05877304,-2.671200037,U,150,TRUE,freshly dead- died on beach (code 2a),not necropsied,1993
M1559/93,Cetacean,Harbour porpoise,Single,155,Phocoena phocoena,Harbour porpoise,1993-07-07,Exact,57.68082428,-2.325282812,M,162,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1592/93,Cetacean,Harbour porpoise,Single,159,Phocoena phocoena,Harbour porpoise,1993-07-12,Exact,57.7264061,-3.324731588,M,137,FALSE,advanced decomposition (code 4),necropsied,1993
M1646/93,Cetacean,Harbour porpoise,Single,164,Phocoena phocoena,Harbour porpoise,1993-07-18,Exact,57.6913414,-3.489532471,U,120,TRUE,Slight decomposition (code 2b),not necropsied,1993
M1653/93,Cetacean,Harbour porpoise,Single,165,Phocoena phocoena,Harbour porpoise,1993-07-20,Exact,57.71054077,-2.29534173,F,156,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M1730/93,Cetacean,Harbour porpoise,Single,173,Phocoena phocoena,Harbour porpoise,1993-07-23,Exact,55.97621155,-2.450233221,U,100,TRUE,advanced decomposition (code 4),not necropsied,1993
M1848/93,Cetacean,Harbour porpoise,Single,184,Phocoena phocoena,Harbour porpoise,1993-08-15,Exact,58.61545944,-3.347876787,U,75,TRUE,indeterminate (code 5),not necropsied,1993
M1847/93,Cetacean,Harbour porpoise,Single,184,Phocoena phocoena,Harbour porpoise,1993-08-15,Exact,58.61634445,-3.349627733,F,100,TRUE,advanced decomposition (code 4),not necropsied,1993
M1916/93,Cetacean,Harbour porpoise,Single,191,Phocoena phocoena,Harbour porpoise,1993-08-18,Exact,54.91384125,-3.564623117,F,81,FALSE,Slight decomposition (code 2b),necropsied,1993
M2053/93,Cetacean,Harbour porpoise,Single,205,Phocoena phocoena,Harbour porpoise,1993-09-05,Exact,57.57667542,-4.098621368,F,110,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M2049/93,Cetacean,Harbour porpoise,Single,204,Phocoena phocoena,Harbour porpoise,1993-09-06,Exact,56.33934021,-2.78288126,F,166,FALSE,freshly dead- died on beach (code 2a),necropsied,1993
M2142/93,Cetacean,Harbour porpoise,Single,214,Phocoena phocoena,Harbour porpoise,1993-09-11,Exact,59.23954391,-2.830783606,U,150,TRUE,advanced decomposition (code 4),not necropsied,1993
M2189/93,Cetacean,Harbour porpoise,Single,218,Phocoena phocoena,Harbour porpoise,1993-09-20,Exact,58.87255478,-2.91387558,F,173,FALSE,advanced decomposition (code 4),necropsied,1993
M2204/93,Cetacean,Harbour porpoise,Single,220,Phocoena phocoena,Harbour porpoise,1993-09-21,Exact,57.69370651,-3.972828388,F,132,FALSE,advanced decomposition (code 4),necropsied,1993
